C11 	C12 	C13 	C14 	C15 	C16 	C22 	C23 	C24 	C25 	C26 	C33 	C34 	C35 	C36 	C44 	C45 	C46 	C55 	C56 	C66
86.6 	43.8 	36.0 	6.1 	-0.6 	-0.1 	177.1 	20.8 	-6.0 	-2.3 	-6.6 	167.9 	-2.8 	5.1 	-10.2 	22.9 	-1.2 	-5.1 	29.1 	0.8 	34.9 	
86.7 	43.8 	35.8 	6.1 	-0.4 	-0.8 	174.0 	19.1 	-6.1 	-2.8 	-6.8 	166.5 	-3.5 	3.9 	-10.9 	22.8 	-1.3 	-5.3 	29.2 	0.9 	35.0 	
87.4 	43.7 	36.2 	6.0 	-0.7 	-0.3 	175.1 	17.3 	-6.4 	-3.1 	-6.6 	162.6 	-3.0 	4.2 	-11.5 	23.1 	-1.3 	-5.2 	28.9 	0.7 	34.6 	
85.6 	44.5 	34.9 	6.2 	-0.3 	-0.4 	176.9 	17.8 	-6.2 	-2.5 	-6.1 	165.5 	-2.8 	4.9 	-10.0 	22.9 	-1.3 	-5.3 	28.8 	0.8 	34.9 	
88.0 	44.2 	35.4 	6.1 	-0.3 	-0.8 	172.1 	13.5 	-6.0 	-3.5 	-5.8 	168.5 	-2.9 	4.5 	-10.1 	22.9 	-1.3 	-5.4 	28.9 	0.7 	35.2 	
87.0 	44.2 	35.8 	5.7 	-0.3 	-0.6 	174.0 	19.2 	-5.7 	-3.4 	-6.6 	167.3 	-2.9 	4.1 	-10.5 	22.9 	-1.3 	-5.1 	29.0 	0.9 	35.1 	
87.1 	41.5 	35.8 	6.3 	-0.3 	-0.3 	176.3 	21.1 	-6.6 	-2.7 	-6.3 	166.8 	-3.2 	4.3 	-11.1 	23.0 	-1.3 	-5.0 	28.9 	0.8 	35.0 	
86.8 	43.3 	34.6 	6.1 	-0.1 	-0.8 	179.8 	19.9 	-6.1 	-3.0 	-6.4 	164.4 	-2.5 	5.7 	-10.7 	23.0 	-1.2 	-5.3 	28.9 	0.8 	34.6 	
88.2 	44.0 	35.9 	6.1 	-0.6 	-0.5 	175.5 	18.3 	-5.6 	-2.8 	-7.0 	165.6 	-3.1 	4.7 	-9.7 	23.0 	-1.4 	-5.4 	29.0 	0.9 	34.8 	
86.4 	44.0 	35.7 	6.3 	0.2 	-0.4 	174.7 	18.7 	-5.7 	-2.6 	-5.9 	167.0 	-3.1 	5.0 	-10.3 	23.1 	-1.4 	-5.2 	28.8 	0.7 	35.0 	
87.1 	43.7 	35.5 	6.1 	-0.3 	-0.7 	176.6 	17.5 	-6.2 	-2.7 	-6.6 	167.4 	-2.8 	4.5 	-11.6 	23.0 	-1.3 	-5.1 	29.1 	0.7 	35.3 	
86.7 	44.6 	35.2 	6.3 	-0.1 	-0.9 	171.3 	17.3 	-6.0 	-2.6 	-5.7 	166.0 	-3.0 	4.7 	-11.0 	22.8 	-1.3 	-5.3 	29.0 	1.0 	35.0 	
87.8 	46.4 	33.9 	6.1 	-0.6 	-0.5 	173.4 	16.1 	-5.9 	-2.7 	-6.1 	165.5 	-3.3 	4.4 	-11.1 	23.0 	-1.3 	-5.2 	29.1 	0.7 	35.2 	
86.7 	44.9 	36.0 	6.2 	-0.5 	-0.7 	177.6 	17.8 	-5.3 	-3.0 	-6.3 	167.8 	-2.8 	4.8 	-10.5 	23.1 	-1.3 	-5.1 	28.8 	0.8 	34.6 	
86.8 	42.6 	33.5 	6.2 	-0.7 	-0.6 	174.8 	17.4 	-6.0 	-1.8 	-5.7 	166.9 	-2.5 	5.0 	-10.1 	22.9 	-1.3 	-5.3 	29.0 	0.8 	35.2 	
86.9 	43.8 	35.6 	6.0 	-0.5 	-0.8 	169.2 	19.1 	-6.2 	-3.1 	-5.5 	165.7 	-2.6 	4.9 	-10.1 	22.9 	-1.3 	-5.1 	29.0 	0.8 	35.0 	
87.3 	45.1 	36.5 	6.2 	-0.6 	-0.5 	169.4 	18.0 	-6.0 	-2.5 	-6.6 	165.7 	-3.0 	4.4 	-10.7 	22.7 	-1.3 	-5.2 	28.8 	0.7 	35.2 	
87.5 	44.3 	33.5 	5.9 	-0.2 	-0.7 	177.2 	18.7 	-6.2 	-3.5 	-7.5 	168.3 	-3.0 	4.1 	-10.0 	22.8 	-1.2 	-5.3 	29.0 	0.9 	34.8 	
87.3 	43.9 	34.7 	6.1 	-0.5 	-0.5 	178.2 	20.3 	-6.3 	-2.8 	-6.6 	163.4 	-2.8 	4.2 	-10.8 	23.1 	-1.3 	-5.2 	29.0 	0.8 	34.9 	
87.6 	44.5 	35.2 	6.2 	-0.3 	-0.6 	174.4 	17.6 	-5.9 	-2.9 	-6.2 	165.9 	-2.5 	4.7 	-10.4 	23.0 	-1.3 	-5.5 	29.2 	0.9 	35.0 	
87.7 	42.7 	36.0 	6.2 	-0.8 	-0.2 	172.5 	18.9 	-5.8 	-2.5 	-6.3 	168.2 	-2.3 	4.6 	-11.0 	22.9 	-1.3 	-5.1 	29.1 	0.9 	35.2 	
86.8 	42.7 	34.7 	6.1 	-0.2 	-0.6 	176.5 	16.2 	-6.1 	-2.3 	-7.0 	164.5 	-3.1 	5.2 	-10.7 	22.9 	-1.3 	-5.4 	28.9 	0.6 	35.1 	
86.3 	44.0 	35.5 	6.1 	-0.4 	-0.5 	172.6 	17.4 	-5.6 	-2.7 	-6.3 	168.6 	-3.2 	4.5 	-10.7 	22.9 	-1.3 	-5.1 	29.1 	0.9 	35.0 	
86.9 	44.3 	36.1 	6.1 	-0.8 	-0.8 	174.8 	18.0 	-6.0 	-2.3 	-6.2 	165.4 	-3.0 	4.0 	-10.8 	23.0 	-1.3 	-5.2 	29.1 	1.0 	35.0 	
86.5 	46.2 	36.3 	5.6 	-0.5 	-0.2 	175.1 	18.6 	-5.5 	-3.1 	-6.3 	163.6 	-2.2 	5.0 	-10.8 	22.9 	-1.4 	-5.2 	29.0 	0.8 	34.6 	
86.3 	43.3 	37.1 	6.2 	-0.4 	-0.6 	172.7 	19.4 	-6.4 	-2.6 	-6.4 	166.3 	-2.9 	5.6 	-10.9 	23.0 	-1.3 	-5.0 	29.0 	0.7 	34.9 	
88.3 	44.6 	36.4 	6.3 	-0.5 	-0.5 	176.5 	13.5 	-6.5 	-3.0 	-6.5 	167.8 	-2.7 	4.1 	-11.0 	22.7 	-1.3 	-5.2 	29.0 	0.8 	35.0 	
87.5 	45.3 	37.5 	6.3 	-0.4 	-0.4 	180.7 	18.2 	-5.5 	-3.0 	-7.1 	168.2 	-2.9 	5.1 	-10.0 	23.0 	-1.4 	-5.3 	29.0 	0.7 	35.0 	
86.5 	43.0 	36.3 	6.2 	-0.6 	-0.6 	175.6 	20.2 	-6.5 	-2.8 	-7.2 	167.0 	-2.6 	4.6 	-11.2 	22.9 	-1.2 	-5.2 	29.0 	0.9 	34.8 	
87.9 	43.0 	36.0 	6.0 	-0.3 	-0.2 	173.1 	19.6 	-6.4 	-2.4 	-6.7 	165.6 	-3.0 	4.9 	-11.2 	23.0 	-1.3 	-5.1 	29.0 	0.8 	35.0 	
86.6 	46.1 	35.5 	6.0 	-0.5 	-1.0 	176.8 	18.1 	-6.0 	-2.6 	-6.4 	166.6 	-2.8 	4.3 	-11.0 	22.9 	-1.2 	-5.1 	29.0 	0.8 	35.0 	
87.0 	44.0 	35.4 	5.9 	-0.2 	-1.0 	174.8 	16.8 	-6.2 	-2.9 	-7.7 	165.6 	-2.7 	4.4 	-10.8 	22.9 	-1.4 	-5.4 	28.9 	0.8 	35.1 	
87.0 	44.0 	33.7 	6.2 	-0.0 	-1.1 	175.5 	15.4 	-6.1 	-2.5 	-6.3 	169.1 	-2.8 	5.3 	-11.3 	22.9 	-1.3 	-5.2 	29.2 	0.8 	35.1 	
87.0 	42.6 	33.8 	5.9 	-0.5 	-0.8 	172.8 	14.3 	-5.9 	-3.1 	-6.3 	166.4 	-3.3 	4.2 	-9.9 	22.8 	-1.3 	-5.4 	29.1 	0.7 	35.0 	
87.2 	46.5 	35.5 	6.2 	-0.4 	-0.8 	170.0 	17.4 	-5.8 	-3.4 	-6.8 	165.6 	-2.8 	5.2 	-10.7 	22.8 	-1.2 	-5.1 	29.0 	0.9 	35.1 	
86.8 	43.0 	36.5 	6.1 	-0.6 	-0.6 	175.2 	19.9 	-5.4 	-2.9 	-6.1 	167.1 	-2.9 	4.8 	-10.5 	22.9 	-1.3 	-5.2 	29.0 	0.7 	34.9 	
86.7 	45.2 	33.1 	6.6 	-0.3 	-0.6 	173.2 	18.1 	-5.9 	-3.3 	-6.6 	167.2 	-2.9 	4.5 	-11.6 	22.9 	-1.2 	-5.3 	29.0 	1.0 	35.1 	
86.1 	42.0 	36.9 	6.2 	-0.1 	-0.5 	174.3 	20.6 	-5.6 	-2.9 	-5.9 	164.8 	-2.8 	5.1 	-11.4 	22.7 	-1.3 	-5.0 	29.1 	0.9 	34.9 	
87.0 	44.2 	36.7 	6.1 	-0.2 	-0.5 	169.6 	18.4 	-5.1 	-3.2 	-6.1 	168.3 	-2.8 	4.8 	-10.0 	22.8 	-1.3 	-5.4 	29.1 	0.7 	35.2 	
85.8 	43.5 	34.1 	6.1 	-0.3 	-0.8 	174.0 	22.5 	-5.6 	-2.7 	-6.3 	165.0 	-3.1 	5.0 	-10.3 	22.9 	-1.4 	-5.1 	29.1 	0.8 	35.1 	
87.6 	44.6 	35.8 	6.3 	-0.5 	-0.3 	178.1 	17.8 	-6.3 	-2.6 	-6.7 	164.2 	-3.4 	4.7 	-10.8 	22.7 	-1.3 	-5.2 	29.1 	0.9 	34.9 	
87.9 	42.6 	36.1 	6.4 	-0.3 	-0.8 	176.8 	16.3 	-5.9 	-3.2 	-6.8 	166.5 	-2.7 	3.5 	-11.2 	22.9 	-1.3 	-5.2 	29.1 	0.9 	35.2 	
86.0 	44.3 	34.1 	5.9 	-0.6 	-0.5 	173.3 	19.0 	-6.1 	-3.2 	-6.4 	164.4 	-2.5 	4.0 	-10.8 	22.9 	-1.3 	-5.2 	29.1 	0.9 	34.7 	
87.0 	45.0 	34.5 	6.2 	-0.2 	-0.5 	176.8 	19.6 	-5.9 	-3.0 	-7.0 	164.4 	-2.9 	4.2 	-11.0 	22.7 	-1.3 	-5.3 	29.0 	0.7 	34.7 	
86.9 	43.4 	36.0 	6.3 	-0.7 	-0.5 	173.2 	17.8 	-5.8 	-2.8 	-7.1 	164.9 	-2.7 	4.5 	-10.9 	22.9 	-1.2 	-5.2 	29.2 	0.7 	34.8 	
86.0 	44.4 	36.3 	6.2 	-0.2 	-0.4 	176.5 	19.9 	-5.9 	-3.2 	-7.1 	165.1 	-2.9 	4.2 	-10.6 	23.0 	-1.3 	-5.2 	28.8 	0.8 	35.2 	
87.9 	43.8 	35.8 	6.2 	-0.5 	-0.6 	172.5 	21.2 	-5.8 	-3.2 	-6.7 	165.6 	-2.5 	4.1 	-11.0 	22.9 	-1.4 	-5.2 	28.8 	0.7 	35.1 	
